No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
69,Jurnal Besurek Jidan,JBJ,https://ojs.poltekkesbengkulu.ac.id/index.php/besurek,-,2808-912X,Penelitian,Sosial Budaya,S5,2021 - 2027,blm_scopus,-,Politeknik Kesehatan Kemenkes Bengkulu,"Surabaya, Jawa Timur"
70,Jurnal Abdimas Le Mujtamak,JALM,https://ojs.uid.ac.id/index.php/jal,-,2797-7765,Penelitian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Universitas Islam Jakarta,"Jambi, Jambi"
71,Arthaniti Studies,ARTHANITI,https://ojs.mahadewa.ac.id/index.php/arthaniti,2775-4081,2774-2415,Penelitian,Ekonomi,S5,2022 - 2026,blm_scopus,-,Universitas Pgri Mahadewa Indonesia,"Kediri, Jawa Timur"
72,Eksponensial,EKSPONENSIAL,http://jurnal.fmipa.unmul.ac.id/index.php/exponensial,2085-7829,2798-3455,Penelitian,Matematika,S5,2021 - 2085,blm_scopus,-,Universitas Mulawarman,"Palembang, Sumatera Selatan"
73,JKP (Jurnal Kajian Pemerintah: Journal of Government Social and Politics),JKP,https://journal.uir.ac.id/index.php/JKP,2442-7292,2721-9232,Penelitian,Pemerintah,S5,2019 - 2097,blm_scopus,-,Universitas Islam Riau,"Magelang, Jawa Tengah"
74,Marine Kreatif,MARINE,http://jurnal.utu.ac.id/mkreatif/index,2581-2238,2745-6900,Penelitian,Sosial Budaya,S5,2018 - 2026,blm_scopus,-,Universitas Teuku Umar,"Semarang, Jawa Tengah"
75,khatulistiwa,KHATULISTIWA,http://jurnaliainpontianak.or.id/index.php/khatulistiwa/index,1412-5781,2502-8499,Penelitian,Sosial Budaya,S5,-,blm_scopus,-,Institute Of Research And Community Service (lp2m) Of IAIN Pontianak,"Makassar, Sulawesi Selatan"
76,Jurnal Ilmiah FIFO,FIFO,http://publikasi.mercubuana.ac.id/index.php/fifo,2085-4315,2502-8332,Penelitian,Manajemen,S5,2018 - 2085,blm_scopus,-,Fakultas Ilmu Komputer Universitas Mercu Buana Jakarta,"Bandung, Jawa Barat"
77,Jurnal Sosiologi Kontemporer,JSKON,https://journal.unibos.ac.id/jsk,2808-8859,2808-8840,Penelitian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Bosowa,"Palu, Sulawesi Tengah"
78,An-Nizom: Jurnal Penelitian Manajemen Pendidikan Islam,AN-NIZOM,https://ejournal.iainbengkulu.ac.id/index.php/annizom,2528-2344,2685-6417,Penelitian,Islam,S5,2018 - 2022,blm_scopus,-,Pascasarjana IAIN Bengkulu,"Jember, Jawa Timur"
79,Ulumul Syar'i,ULUMUL SYAR’I,http://e-journal.stishid.ac.id/index.php/uls,2086-0498,2622-4674,Penelitian,Hukum,S5,2017 - 2086,blm_scopus,-,Analisis Putusan Mahkamah Konstitusi,"Palembang, Sumatera Selatan"
80,Abimanyu: Journal of Community Engagement,ABIMANYU,https://journal.unesa.ac.id/index.php/abimanyu,2721-4095,2721-4095,Penelitian,Sosial & Politik,S5,2020 - 2045,blm_scopus,-,Universitas Negeri Surabaya,"Palembang, Sumatera Selatan"
81,EAJ (ECONOMICS AND ACCOUNTING JOURNAL),EAJ,http://openjournal.unpam.ac.id/index.php/EAJ,-,2615-7888,Penelitian,Akuntansi,S5,2018 - 2024,blm_scopus,-,Universitas Pamulang,"Madiun, Jawa Timur"
82,Jurnal Agroteknologi,JAGRO,https://jurnal.umnu.ac.id/index.php/agronu,-,2827-9778,Penelitian,Pertanian,S5,2022 - 2027,blm_scopus,-,Universitas Maarif Nahdlatul Ulama Kebumen,"Solo, Jawa Tengah"
83,Jurnal Ilmiah Pengabdian Kepada Masyarakat,JIPKM,http://jipam.stai-dq.org/index.php/home,2828-0563,2828-0431,Pengabdian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Sekolah Tinggi Agama Islam Darul Qalam Tangerang,"Depok, Jawa Barat"
84,Yavana Bhasha : Journal of English Language Education,YAVANA,http://ojs.uhnsugriwa.ac.id/index.php/YB/index,2620-4983,2685-7545,Penelitian,Sastra Inggris,S5,2018 - 2049,blm_scopus,-,Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,"Malang, Jawa Timur"
85,Sambulugana,SAMBULUGANA,https://jurnal.unismuhpalu.ac.id/index.php/sg,-,2827-7627,Penelitian,Sosial Budaya,S5,2022 - 2026,blm_scopus,-,Universitas Muhammadiyah Palu,"Bekasi, Jawa Barat"
86,Jurnal Aksioma Ad Diniyah : The Indonesian Journal of Islamic Studies,AAD,https://ejurnal.latansamashiro.ac.id/index.php/JAD,2337-6104,2721-3579,Penelitian,Islam,S5,2021 - 2025,blm_scopus,-,Sekolah Tinggi Agama Islam La Tansa Mashiro,"Kupang, Nusa Tenggara Timur"
87,Jurnal Indonesia : Manajemen Informatika dan Komunikasi,JIMIK,http://journal.amikindonesia.ac.id/index.php/jimik,-,2723-7079,Penelitian,Informatika Komputer,S5,2020 - 2029,blm_scopus,-,Akademi Manajemen Informasi dan Komputer Indonesia,"Solo, Jawa Tengah"
88,Jurnal Al-Fikrah,AL-FIKRAH,https://ejournal.iaialaziziyah.ac.id/index.php/jiaf,2085-8523,2746-2714,Penelitian,Islam,S5,2020 - 2085,blm_scopus,-,Institut Agama Islam Al-aziziyah,"Medan, Sumatera Utara"
89,Journal of Community Engagement in Health,JCEH,https://jceh.org/index.php/JCEH,2620-3758,2620-3766,Penelitian,Kesehatan,S5,2018 - 2037,blm_scopus,-,Institut Ilmu Kesehatan Strada Indonesia,"Kudus, Jawa Tengah"
90,Jurnal Pendidikan Amartha,JPA,https://rayyanjurnal.com/index.php/jpa,2964-7916,2964-1675,Penelitian,Pendidikan,S5,2022 - 2026,blm_scopus,-,-,"Tangerang, Banten"
91,Jurnal Penelitian Bidang Inovasi & Pengelolaan Industri (Invantri),INVANTRI,http://ejournal.unhasy.ac.id/index.php/invantri,-,2808-6740,Penelitian,Industri,S5,2022 - 2026,blm_scopus,-,Universitas Hasyim Asyari,"Samarinda, Kalimantan Timur"
92,Jurnal Ilmiah Pembelajaran Sekolah Dasar,JIPSD,http://ojs.uho.ac.id/index.php/jipsd/index,-,2656-0402,Penelitian,Pendidikan,S5,2013 - 2022,blm_scopus,-,"Jurusan Pendidikan Guru Sekolah Dasar, Universitas Halu Oleo","Bandung, Jawa Barat"
93,Jurnal Pengabdian kepada Masyarakat Desa (JPMD),JPMD,https://ejournal.iaifa.ac.id/index.php/JPMD,2745-5947,2745-5947,Pengabdian,Sosial & Politik,S5,2021 - 2026,blm_scopus,-,Institut Agama Islam Faqih Asyari Kediri,"Magelang, Jawa Tengah"
94,Shihatuna : Jurnal Pengabdian Kesehatan Masyarakat,SHIHATUNA,http://jurnal.uinsu.ac.id/index.php/shihatuna,-,2808-1188,Pengabdian,Kesehatan,S5,2022 - 2027,blm_scopus,-,Fakultas Kesehatan Masyarakat Universitas Islam Negeri Sumatera Utara,"Denpasar, Bali"
95,Jurnal Ilmiah Psyche,PSYCHE,http://journal.binadarma.ac.id/index.php/jurnalpsyche/issue/view/94,0216-3985,2655-8505,Penelitian,Psikologi,S5,2019 - 2025,blm_scopus,-,Universitas Bina Darma,"Kediri, Jawa Timur"
96,"Journal Software, Hardware and Information Technology",JSHIT,http://shift.sin.fst.uin-alauddin.ac.id/index.php/shift,2808-3385,2776-8961,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Universitas Islam Negeri Alauddin Makassar,"Kediri, Jawa Timur"
97,MIMBAR INTEGRITAS,MI,https://unars.ac.id/ojs/index.php/mimbarintegritas,2809-4670,2809-4670,Penelitian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Abdurachman Saleh Situbondo,"Solo, Jawa Tengah"
98,Jurnal Serunai Matematika,JSM,http://ejournal.stkipbudidaya.ac.id/index.php/jf,2089-9459,2620-9217,Penelitian,Matematika,S5,2019 - 2092,blm_scopus,-,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Budidaya Binjai,"Magelang, Jawa Tengah"
99,Jurnal Gramaswara: Jurnal Pengabdian kepada Masyarakat,GRAMASWARA,https://gramaswara.ub.ac.id/index.php/gramaswara,-,2807-369X,Pengabdian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Universitas Brawijaya,"Banjarmasin, Kalimantan Selatan"
100,Jurnal Pendidikan Bahasa Jepang Undhiksa,JPJ,https://ejournal.undiksha.ac.id/index.php/JJPBJ/issue/archive,2613-9626,2613-9618,Penelitian,Sastra Arab,S5,2018 - 2025,blm_scopus,-,Universitas Pendidikan Ganesha,"Semarang, Jawa Tengah"
101,Jurnal Healthy Mandala Waluya,JHMW,https://ejournal.umw.ac.id/jhmw,-,2830-1463,Penelitian,Kesehatan,S5,2022 - 2026,blm_scopus,-,Universitas Mandala Waluya,"Surabaya, Jawa Timur"
102,Serunai : Jurnal Ilmiah Ilmu Pendidikan,SERUNAI,http://ejournal.stkipbudidaya.ac.id/index.php/ja,2528-0775,2621-2676,Penelitian,Pendidikan,S5,2020 - 2025,blm_scopus,-,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Budidaya Binjai,"Palembang, Sumatera Selatan"
103,Edutik : Jurnal Pendidikan Teknologi Informasi dan Komunikasi,EDUTIK,https://ejurnal.unima.ac.id/index.php/edutik,2798-141X,2798-141X,Penelitian,Pendidikan,S5,2021 - 2026,blm_scopus,-,Universitas Negeri Manado,"Manado, Sulawesi Utara"
104,Jurnal Pemberdayaan Sosial dan Teknologi Masyarakat,JPSTM,https://jurnal.goretanpena.com/index.php/JPSTM,-,2776-7647,Penelitian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Pemanfaatan Ruang Kosong Bernuansa Ecopedagogy di Universitas Asahan Smart Education Jurnal Pemberdayaan Sosial dan Teknologi Masyarakat,"Kudus, Jawa Tengah"
105,Jurnal Pengmas Kestra (JPK),JPK,https://ejournal.medistra.ac.id/index.php/JPK,-,2775-2437,Penelitian,Kesehatan,S5,2021 - 2026,blm_scopus,-,Institut Kesehatan Medistra Lubuk Pakam,"Tangerang, Banten"
106,Public Policy Journal,PPJ,http://ejurnal.pps.ung.ac.id/index.php/PPJ,-,2746-4490,Penelitian,Pemerintah,S5,2022 - 2026,blm_scopus,-,Universitas Negeri Gorontalo,"Malang, Jawa Timur"
107,Journal of Sosial Science and Digital Marketing,JSSDM,https://stmikdharmapalariau.ac.id/ojs/index.php/jssdm,-,2775-4278,Penelitian,Bisnis,S5,2020 - 2026,blm_scopus,-,STMIK Dharmapala Riau,"Padang, Sumatera Barat"
108,Al-Tamimi Kesmas: Jurnal Ilmu Kesehatan Masyarakat (Journal of Public Health Sciences),ATK,https://jurnal.ikta.ac.id/kesmas/article/view/2509/753,2338-2147,2654-6485,Penelitian,Kesehatan,S5,2019 - 2025,blm_scopus,-,Sekolah Tinggi Kesehatan Al Insyirah Pekanbaru,"Lampung, Lampung"
109,Al-Alam : Islamic Natural Science Education Journal,AL-ALAM,https://jurnal.iainambon.ac.id/index.php/JTI,2962-4657,2962-7737,Penelitian,Islam,S5,2022 - 2026,blm_scopus,-,Institut Agama Islam Negeri Ambon,"Bandung, Jawa Barat"
110,Teaching and Learning Journal of Mandalika (Teacher),TEACHER,http://ojs.cahayamandalika.com/index.php/teacher,-,2721-9666,Penelitian,Pendidikan,S5,2010 - 2026,blm_scopus,-,Institut Penelitian dan Pengembangan Mandalika Indonesia,"Denpasar, Bali"
111,Jurnal Analis Farmasi,JAF,http://ejurnalmalahayati.ac.id/index.php/analisfarmasi,2503-233X,2656-7598,Penelitian,Farmasi,S5,2020 - 2048,blm_scopus,-,Unit Penelitian dan Pengabdian Kepada Masyarakat (uppm Program Studi Diii Analis Farmasi dan Makanan Universitas Malahayati,"Cirebon, Jawa Barat"
112,Veritas: Jurnal Program Pascasarjana Ilmu Hukum Universitas Islam As-Syafiiyah,VERITAS,https://uia.e-journal.id/veritas,2407-2494,2655-979X,Penelitian,Hukum,S5,2017 - 2027,blm_scopus,-,Veritas: Jurnal Program Pascasarjana Ilmu Hukum Universitas Islam As-syafiiyah,"Madiun, Jawa Timur"
113,DEIKTIS: Jurnal Pendidikan Bahasa dan Sastra,DEIKTIS,https://dmi-journals.org/deiktis,-,2807-7504,Penelitian,Sastra Indonesia,S5,2002 - 2044,blm_scopus,-,Perkumpulan Dosen Muslin Indonesia,"Bandung, Jawa Barat"
